Business Title,Is Manager?,Function,Region,Country,Platform,RAM,installed_app_count,vpn_present,pdf_tool,analytics_tool,browser_present,collab_present,bundle
"EVP, Regional Operations Manager",Yes,2044_RG - Business Leadership,North America & Latin America,United States of America,Notebook,31.0,1345,1,1,1,1,1,BUNDLE_3
"Senior Accounting Manager, REMS",Yes,3016_SD - Client Accounting,North America & Latin America,United States of America,Notebook,16.0,1345,1,1,1,1,1,BUNDLE_3
"SVP, General Manager",,2000_RG - Revenue Generator,North America & Latin America,United States of America,,,1345,1,1,1,1,1,BUNDLE_3
